symbol,sector,computed_time
AKASH,Unknown,2026-02-19 08:12:00.874329
AKG,Unknown,2026-02-19 08:12:00.874329
AKI,Unknown,2026-02-19 08:12:00.874329
AKSHAR,Unknown,2026-02-19 08:12:00.874329
AKSHARCHEM,Unknown,2026-02-19 08:12:00.874329
AKSHOPTFBR,Unknown,2026-02-19 08:12:00.874329
AKUMS,Pharma,2026-02-19 08:12:00.874329
AKZOINDIA,Unknown,2026-02-19 08:12:00.874329
ALANKIT,Unknown,2026-02-19 08:12:00.874329
ALBERTDAVD,Unknown,2026-02-19 08:12:00.874329
ALEMBICLTD,Unknown,2026-02-19 08:12:00.874329
ALGOQUANT,IT,2026-02-19 08:12:00.874329
ALICON,Unknown,2026-02-19 08:12:00.874329
ALIVUS,Unknown,2026-02-19 08:12:00.874329
ALKALI,Metals,2026-02-19 08:12:00.874329
ALKYLAMINE,Unknown,2026-02-19 08:12:00.874329
ALLCARGO,Unknown,2026-02-19 08:12:00.874329
ALLDIGI,IT,2026-02-19 08:12:00.874329
ALLTIME,Unknown,2026-02-19 08:12:00.874329
ALMONDZ,Unknown,2026-02-19 08:12:00.874329
ALOKINDS,Unknown,2026-02-19 08:12:00.874329
ALPA,Unknown,2026-02-19 08:12:00.874329
ALPHAGEO,Unknown,2026-02-19 08:12:00.874329
AMAGI,Unknown,2026-02-19 08:12:00.874329
AMANTA,Unknown,2026-02-19 08:12:00.874329
AMBER,Unknown,2026-02-19 08:12:00.874329
AMBICAAGAR,Unknown,2026-02-19 08:12:00.874329
AMBIKCO,Unknown,2026-02-19 08:12:00.874329
AMBUJACEM,Cement,2026-02-19 08:12:00.874329
AMDIND,Unknown,2026-02-19 08:12:00.874329
AMJLAND,Unknown,2026-02-19 08:12:00.874329
AMNPLST,Unknown,2026-02-19 08:12:00.874329
AMRUTANJAN,Unknown,2026-02-19 08:12:00.874329
ANANDRATHI,Unknown,2026-02-19 08:12:00.874329
ANDHRAPAP,Unknown,2026-02-19 08:12:00.874329
ANDHRSUGAR,Unknown,2026-02-19 08:12:00.874329
ANGELONE,Unknown,2026-02-19 08:12:00.874329
ANIKINDS,Unknown,2026-02-19 08:12:00.874329
ANMOL,Unknown,2026-02-19 08:12:00.874329
ANTELOPUS,Energy,2026-02-19 08:12:00.874329
ANTGRAPHIC,Unknown,2026-02-19 08:12:00.874329
ANTHEM,Pharma,2026-02-19 08:12:00.874329
ANUHPHR,Pharma,2026-02-19 08:12:00.874329
ANUP,Unknown,2026-02-19 08:12:00.874329
ANURAS,Unknown,2026-02-19 08:12:00.874329
APARINDS,Unknown,2026-02-19 08:12:00.874329
APCL,Cement,2026-02-19 08:12:00.874329
APCOTEXIND,Unknown,2026-02-19 08:12:00.874329
APEX,Unknown,2026-02-19 08:12:00.874329
APLLTD,Pharma,2026-02-19 08:12:00.874329
APOLLO,Unknown,2026-02-19 08:12:00.874329
APOLLOHOSP,Unknown,2026-02-19 08:12:00.874329
APOLLOPIPE,Unknown,2026-02-19 08:12:00.874329
APOLLOTYRE,Unknown,2026-02-19 08:12:00.874329
APOLSINHOT,Unknown,2026-02-19 08:12:00.874329
APTECHT,IT,2026-02-19 08:12:00.874329
APTUS,Finance,2026-02-19 08:12:00.874329
ARCHIDPLY,Unknown,2026-02-19 08:12:00.874329
ARCHIES,Unknown,2026-02-19 08:12:00.874329
ARE&M,Energy,2026-02-19 08:12:00.874329
ARENTERP,Unknown,2026-02-19 08:12:00.874329
ARFIN,Unknown,2026-02-19 08:12:00.874329
ARIES,Unknown,2026-02-19 08:12:00.874329
ARIHANTCAP,Unknown,2026-02-19 08:12:00.874329
ARIHANTSUP,Unknown,2026-02-19 08:12:00.874329
ARIS,Unknown,2026-02-19 08:12:00.874329
ARKADE,Unknown,2026-02-19 08:12:00.874329
ARMANFIN,Unknown,2026-02-19 08:12:00.874329
AROGRANITE,Unknown,2026-02-19 08:12:00.874329
ARROWGREEN,IT,2026-02-19 08:12:00.874329
ARSSBL,Unknown,2026-02-19 08:12:00.874329
ARTEMISMED,Unknown,2026-02-19 08:12:00.874329
ARTNIRMAN,Unknown,2026-02-19 08:12:00.874329
ARVIND,Unknown,2026-02-19 08:12:00.874329
ARVINDFASN,Unknown,2026-02-19 08:12:00.874329
ARVSMART,Unknown,2026-02-19 08:12:00.874329
ASAHIINDIA,Unknown,2026-02-19 08:12:00.874329
ASAHISONG,Unknown,2026-02-19 08:12:00.874329
ASAL,Automobile,2026-02-19 08:12:00.874329
ASALCBR,Unknown,2026-02-19 08:12:00.874329
ASHAPURMIN,Unknown,2026-02-19 08:12:00.874329
ASHIANA,Unknown,2026-02-19 08:12:00.874329
ASHIMASYN,Unknown,2026-02-19 08:12:00.874329
ASHOKA,Unknown,2026-02-19 08:12:00.874329
ASHOKAMET,Unknown,2026-02-19 08:12:00.874329
ASIANENE,Energy,2026-02-19 08:12:00.874329
ASIANHOTNR,Unknown,2026-02-19 08:12:00.874329
ASIANPAINT,Unknown,2026-02-19 08:12:00.874329
ASIANTILES,Unknown,2026-02-19 08:12:00.874329
ASKAUTOLTD,Automobile,2026-02-19 08:12:00.874329
ASMS,Unknown,2026-02-19 08:12:00.874329
ASPINWALL,Unknown,2026-02-19 08:12:00.874329
ASTEC,Unknown,2026-02-19 08:12:00.874329
ASTERDM,Unknown,2026-02-19 08:12:00.874329
ASTRAL,Unknown,2026-02-19 08:12:00.874329
ASTRAMICRO,Unknown,2026-02-19 08:12:00.874329
ASTRAZEN,Pharma,2026-02-19 08:12:00.874329
ASTRON,Unknown,2026-02-19 08:12:00.874329
ATALREAL,IT,2026-02-19 08:12:00.874329
ATAM,Unknown,2026-02-19 08:12:00.874329
ATHERENERG,Energy,2026-02-19 08:12:00.874329
ATL,Unknown,2026-02-19 08:12:00.874329
ATLANTAA,Unknown,2026-02-19 08:12:00.874329
ATLANTAELE,Unknown,2026-02-19 08:12:00.874329
ATLASCYCLE,Unknown,2026-02-19 08:12:00.874329
ATUL,Unknown,2026-02-19 08:12:00.874329
ATULAUTO,Automobile,2026-02-19 08:12:00.874329
AURIONPRO,Unknown,2026-02-19 08:12:00.874329
AURUM,IT,2026-02-19 08:12:00.874329
AUTOAXLES,Automobile,2026-02-19 08:12:00.874329
AUTOIND,Automobile,2026-02-19 08:12:00.874329
AVADHSUGAR,Energy,2026-02-19 08:12:00.874329
AVALON,IT,2026-02-19 08:12:00.874329
AVANTEL,Unknown,2026-02-19 08:12:00.874329
AVANTIFEED,Unknown,2026-02-19 08:12:00.874329
AVG,Unknown,2026-02-19 08:12:00.874329
AVL,Unknown,2026-02-19 08:12:00.874329
AVONMORE,Unknown,2026-02-19 08:12:00.874329
AVTNPL,Unknown,2026-02-19 08:12:00.874329
AWFIS,Unknown,2026-02-19 08:12:00.874329
AWHCL,Unknown,2026-02-19 08:12:00.874329
AWL,Unknown,2026-02-19 08:12:00.874329
AXISCADES,IT,2026-02-19 08:12:00.874329
AYE,Finance,2026-02-19 08:12:00.874329
AYMSYNTEX,Unknown,2026-02-19 08:12:00.874329
AZAD,Unknown,2026-02-19 08:12:00.874329
BAGFILMS,Unknown,2026-02-19 08:12:00.874329
BAIDFIN,Unknown,2026-02-19 08:12:00.874329
BAJAJCON,Unknown,2026-02-19 08:12:00.874329
BAJAJELEC,Unknown,2026-02-19 08:12:00.874329
BAJAJFINSV,Unknown,2026-02-19 08:12:00.874329
BAJAJHCARE,Unknown,2026-02-19 08:12:00.874329
BAJAJHFL,Finance,2026-02-19 08:12:00.874329
BAJAJHIND,Unknown,2026-02-19 08:12:00.874329
BAJAJHLDNG,Unknown,2026-02-19 08:12:00.874329
BAJAJINDEF,Unknown,2026-02-19 08:12:00.874329
BAJEL,Unknown,2026-02-19 08:12:00.874329
BAJFINANCE,Finance,2026-02-19 08:12:00.874329
BALAJEE,Unknown,2026-02-19 08:12:00.874329
BALAJITELE,Unknown,2026-02-19 08:12:00.874329
BALAMINES,Unknown,2026-02-19 08:12:00.874329
BALAXI,Pharma,2026-02-19 08:12:00.874329
BALKRISHNA,Unknown,2026-02-19 08:12:00.874329
BALKRISIND,Unknown,2026-02-19 08:12:00.874329
BALMLAWRIE,Unknown,2026-02-19 08:12:00.874329
BALPHARMA,Pharma,2026-02-19 08:12:00.874329
BALRAMCHIN,Unknown,2026-02-19 08:12:00.874329
BALUFORGE,Unknown,2026-02-19 08:12:00.874329
BANARBEADS,Unknown,2026-02-19 08:12:00.874329
BANARISUG,Unknown,2026-02-19 08:12:00.874329
BANCOINDIA,Unknown,2026-02-19 08:12:00.874329
BANDHANBNK,Finance,2026-02-19 08:12:00.874329
BANG,Unknown,2026-02-19 08:12:00.874329
BANKA,Finance,2026-02-19 08:12:00.874329
BANKINDIA,Finance,2026-02-19 08:12:00.874329
BANSALWIRE,Unknown,2026-02-19 08:12:00.874329
BANSWRAS,Unknown,2026-02-19 08:12:00.874329
BASF,Unknown,2026-02-19 08:12:00.874329
BASML,Unknown,2026-02-19 08:12:00.874329
BATAINDIA,Unknown,2026-02-19 08:12:00.874329
BAYERCROP,Unknown,2026-02-19 08:12:00.874329
BBL,Unknown,2026-02-19 08:12:00.874329
BBOX,Unknown,2026-02-19 08:12:00.874329
BBTC,Unknown,2026-02-19 08:12:00.874329
BBTCL,Unknown,2026-02-19 08:12:00.874329
BCG,Unknown,2026-02-19 08:12:00.874329
BCLIND,Unknown,2026-02-19 08:12:00.874329
BCONCEPTS,Unknown,2026-02-19 08:12:00.874329
BDL,Unknown,2026-02-19 08:12:00.874329
BEARDSELL,Unknown,2026-02-19 08:12:00.874329
BECTORFOOD,Unknown,2026-02-19 08:12:00.874329
BEDMUTHA,Unknown,2026-02-19 08:12:00.874329
BEL,Unknown,2026-02-19 08:12:00.874329
BELLACASA,Unknown,2026-02-19 08:12:00.874329
BELRISE,Unknown,2026-02-19 08:12:00.874329
BEML,Unknown,2026-02-19 08:12:00.874329
BEPL,Unknown,2026-02-19 08:12:00.874329
BERGEPAINT,Unknown,2026-02-19 08:12:00.874329
BETA,Unknown,2026-02-19 08:12:00.874329
BFINVEST,Unknown,2026-02-19 08:12:00.874329
BGRENERGY,Energy,2026-02-19 08:12:00.874329
BHAGCHEM,Unknown,2026-02-19 08:12:00.874329
BHAGERIA,Unknown,2026-02-19 08:12:00.874329
BHANDARI,Unknown,2026-02-19 08:12:00.874329
BHARATCOAL,Unknown,2026-02-19 08:12:00.874329
BHARATGEAR,Unknown,2026-02-19 08:12:00.874329
BHARATRAS,Unknown,2026-02-19 08:12:00.874329
BHARATSE,Unknown,2026-02-19 08:12:00.874329
BHARATWIRE,Unknown,2026-02-19 08:12:00.874329
BHARTIARTL,Unknown,2026-02-19 08:12:00.874329
BHARTIHEXA,Unknown,2026-02-19 08:12:00.874329
BIGBLOC,Unknown,2026-02-19 08:12:00.874329
BIKAJI,Unknown,2026-02-19 08:12:00.874329
BIL,Unknown,2026-02-19 08:12:00.874329
BIOFILCHEM,Pharma,2026-02-19 08:12:00.874329
BIRLACABLE,Unknown,2026-02-19 08:12:00.874329
BIRLACORPN,Unknown,2026-02-19 08:12:00.874329
BIRLAMONEY,Unknown,2026-02-19 08:12:00.874329
BIRLANU,Unknown,2026-02-19 08:12:00.874329
BLACKBUCK,Unknown,2026-02-19 08:12:00.874329
BLAL,Unknown,2026-02-19 08:12:00.874329
BLBLIMITED,Unknown,2026-02-19 08:12:00.874329
BLISSGVS,Pharma,2026-02-19 08:12:00.874329
BLKASHYAP,Unknown,2026-02-19 08:12:00.874329
BLS,Unknown,2026-02-19 08:12:00.874329
BLSE,Unknown,2026-02-19 08:12:00.874329
BLUECHIP,Unknown,2026-02-19 08:12:00.874329
BLUECOAST,Unknown,2026-02-19 08:12:00.874329
BLUEDART,Unknown,2026-02-19 08:12:00.874329
BLUEJET,Unknown,2026-02-19 08:12:00.874329
BLUESTARCO,Unknown,2026-02-19 08:12:00.874329
BLUESTONE,Unknown,2026-02-19 08:12:00.874329
BLUSPRING,Unknown,2026-02-19 08:12:00.874329
BMWVENTLTD,Unknown,2026-02-19 08:12:00.874329
BODALCHEM,Unknown,2026-02-19 08:12:00.874329
BOMDYEING,Unknown,2026-02-19 08:12:00.874329
BOROLTD,Unknown,2026-02-19 08:12:00.874329
BORORENEW,Unknown,2026-02-19 08:12:00.874329
BOROSCI,Unknown,2026-02-19 08:12:00.874329
BOSCH-HCIL,Unknown,2026-02-19 08:12:00.874329
BPL,Unknown,2026-02-19 08:12:00.874329
BRIGHOTEL,Unknown,2026-02-19 08:12:00.874329
BRNL,Unknown,2026-02-19 08:12:00.874329
BROOKS,Unknown,2026-02-19 08:12:00.874329
BSE,Unknown,2026-02-19 08:12:00.874329
BSHSL,Unknown,2026-02-19 08:12:00.874329
BSL,Unknown,2026-02-19 08:12:00.874329
BSOFT,Unknown,2026-02-19 08:12:00.874329
BTML,Unknown,2026-02-19 08:12:00.874329
BUILDPRO,Unknown,2026-02-19 08:12:00.874329
BUTTERFLY,Unknown,2026-02-19 08:12:00.874329
BVCL,Cement,2026-02-19 08:12:00.874329
BYKE,Unknown,2026-02-19 08:12:00.874329
CALSOFT,IT,2026-02-19 08:12:00.874329
CAMLINFINE,Unknown,2026-02-19 08:12:00.874329
CAMPUS,Unknown,2026-02-19 08:12:00.874329
CAMS,Unknown,2026-02-19 08:12:00.874329
CANFINHOME,Unknown,2026-02-19 08:12:00.874329
CANHLIFE,Finance,2026-02-19 08:12:00.874329
CANTABIL,Unknown,2026-02-19 08:12:00.874329
CAPACITE,Unknown,2026-02-19 08:12:00.874329
CAPILLARY,IT,2026-02-19 08:12:00.874329
CAPITALSFB,Finance,2026-02-19 08:12:00.874329
CAPLIPOINT,Unknown,2026-02-19 08:12:00.874329
CAPTRUST,Unknown,2026-02-19 08:12:00.874329
CARBORUNIV,Unknown,2026-02-19 08:12:00.874329
CARERATING,Unknown,2026-02-19 08:12:00.874329
CARRARO,Unknown,2026-02-19 08:12:00.874329
CARTRADE,IT,2026-02-19 08:12:00.874329
CARYSIL,Unknown,2026-02-19 08:12:00.874329
CCAVENUE,Unknown,2026-02-19 08:12:00.874329
CCCL,Unknown,2026-02-19 08:12:00.874329
CCHHL,Unknown,2026-02-19 08:12:00.874329
CCL,Unknown,2026-02-19 08:12:00.874329
CDSL,Unknown,2026-02-19 08:12:00.874329
