symbol,company,isin,sector
AKASH,Akash Infra-Projects Limited,INE737W01013,UNKNOWN
AKG,Akg Exim Limited,INE00Y801016,UNKNOWN
AKI,AKI India Limited,INE642Z01026,UNKNOWN
AKSHAR,Akshar Spintex Limited,INE256Z01025,UNKNOWN
AKSHARCHEM,AksharChem India Limited,INE542B01011,UNKNOWN
AKSHOPTFBR,Aksh Optifibre Limited,INE523B01011,UNKNOWN
AKUMS,Akums Drugs and Pharmaceuticals Limited,INE09XN01023,UNKNOWN
AKZOINDIA,Akzo Nobel India Limited,INE133A01011,UNKNOWN
ALANKIT,Alankit Limited,INE914E01040,UNKNOWN
ALBERTDAVD,Albert David Limited,INE155C01010,UNKNOWN
ALEMBICLTD,Alembic Limited,INE426A01027,UNKNOWN
ALGOQUANT,Algoquant Fintech Limited,INE598D01035,UNKNOWN
ALICON,Alicon Castalloy Limited,INE062D01024,UNKNOWN
ALIVUS,Alivus Life Sciences Limited,INE03Q201024,UNKNOWN
ALKALI,Alkali Metals Limited,INE773I01017,UNKNOWN
ALKEM,Alkem Laboratories Limited,INE540L01014,UNKNOWN
ALKYLAMINE,Alkyl Amines Chemicals Limited,INE150B01039,UNKNOWN
ALLCARGO,Allcargo Logistics Limited,INE418H01029,UNKNOWN
ALLDIGI,Alldigi Tech Limited,INE835G01018,UNKNOWN
ALLTIME,All Time Plastics Limited,INE0GV601021,UNKNOWN
ALMONDZ,Almondz Global Securities Limited,INE326B01035,UNKNOWN
ALOKINDS,Alok Industries Limited,INE270A01029,UNKNOWN
ALPA,Alpa Laboratories Limited,INE385I01010,UNKNOWN
ALPHAGEO,Alphageo (India) Limited,INE137C01018,UNKNOWN
AMAGI,Amagi Media Labs Limited,INE121R01077,UNKNOWN
AMANTA,Amanta Healthcare Limited,INE084K01015,UNKNOWN
AMBER,Amber Enterprises India Limited,INE371P01015,UNKNOWN
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,INE792B01012,UNKNOWN
AMBIKCO,Ambika Cotton Mills Limited,INE540G01014,UNKNOWN
AMBUJACEM,Ambuja Cements Limited,INE079A01024,UNKNOWN
AMDIND,AMD Industries Limited,INE005I01014,UNKNOWN
AMJLAND,Amj Land Holdings Limited,INE606A01024,UNKNOWN
AMNPLST,Amines & Plasticizers Limited,INE275D01022,UNKNOWN
AMRUTANJAN,Amrutanjan Health Care Limited,INE098F01031,UNKNOWN
ANANDRATHI,Anand Rathi Wealth Limited,INE463V01026,UNKNOWN
ANANTRAJ,Anant Raj Limited,INE242C01024,UNKNOWN
ANDHRAPAP,ANDHRA PAPER LIMITED,INE435A01051,UNKNOWN
ANDHRSUGAR,The Andhra Sugars Limited,INE715B01021,UNKNOWN
ANGELONE,Angel One Limited,INE732I01013,UNKNOWN
ANIKINDS,Anik Industries Limited,INE087B01017,UNKNOWN
ANKITMETAL,Ankit Metal & Power Limited,INE106I01010,UNKNOWN
ANMOL,Anmol India Limited,INE02AR01019,UNKNOWN
ANSALAPI,Ansal Properties & Infrastructure Limited,INE436A01026,UNKNOWN
ANTELOPUS,Antelopus Selan Energy Limited,INE818A01017,UNKNOWN
ANTGRAPHIC,Antarctica Limited,INE414B01021,UNKNOWN
ANTHEM,Anthem Biosciences Limited,INE0CZ201020,UNKNOWN
ANUHPHR,Anuh Pharma Limited,INE489G01022,UNKNOWN
ANUP,The Anup Engineering Limited,INE294Z01018,UNKNOWN
ANURAS,Anupam Rasayan India Limited,INE930P01018,UNKNOWN
APARINDS,Apar Industries Limited,INE372A01015,UNKNOWN
APCL,Anjani Portland Cement Limited,INE071F01012,UNKNOWN
APCOTEXIND,Apcotex Industries Limited,INE116A01032,UNKNOWN
APEX,Apex Frozen Foods Limited,INE346W01013,UNKNOWN
APLAPOLLO,APL Apollo Tubes Limited,INE702C01027,UNKNOWN
APLLTD,Alembic Pharmaceuticals Limited,INE901L01018,UNKNOWN
APOLLO,Apollo Micro Systems Limited,INE713T01028,UNKNOWN
APOLLOHOSP,Apollo Hospitals Enterprise Limited,INE437A01024,UNKNOWN
APOLLOPIPE,Apollo Pipes Limited,INE126J01016,UNKNOWN
APOLLOTYRE,Apollo Tyres Limited,INE438A01022,UNKNOWN
APOLSINHOT,Apollo Sindoori Hotels Limited,INE451F01024,UNKNOWN
APTECHT,Aptech Limited,INE266F01018,UNKNOWN
APTUS,Aptus Value Housing Finance India Limited,INE852O01025,UNKNOWN
ARCHIDPLY,Archidply Industries Limited,INE877I01016,UNKNOWN
ARCHIES,Archies Limited,INE731A01020,UNKNOWN
ARE&M,Amara Raja Energy & Mobility Limited,INE885A01032,UNKNOWN
ARENTERP,Rajdarshan Industries Limited,INE610C01014,UNKNOWN
ARFIN,Arfin India Limited,INE784R01023,UNKNOWN
ARIES,Aries Agro Limited,INE298I01015,UNKNOWN
ARIHANTCAP,Arihant Capital Markets Limited,INE420B01036,UNKNOWN
ARIHANTSUP,Arihant Superstructures Limited,INE643K01018,UNKNOWN
ARISINFRA,Arisinfra Solutions Limited,INE0H9P01028,UNKNOWN
