symbol,sector,computed_time
BLACKBUCK,Unknown,2026-02-19 07:56:16.831054
BLAL,Unknown,2026-02-19 07:56:16.831091
BLBLIMITED,Unknown,2026-02-19 07:56:16.831128
BLISSGVS,Pharma,2026-02-19 07:56:16.831165
BLKASHYAP,Unknown,2026-02-19 07:56:16.831224
BLS,Unknown,2026-02-19 07:56:16.831269
BLSE,Unknown,2026-02-19 07:56:16.831308
BLUECHIP,Unknown,2026-02-19 07:56:16.831346
BLUECOAST,Unknown,2026-02-19 07:56:16.831384
BLUEDART,Unknown,2026-02-19 07:56:16.831421
BLUEJET,Unknown,2026-02-19 07:56:16.831459
BLUESTARCO,Unknown,2026-02-19 07:56:16.831497
BLUESTONE,Unknown,2026-02-19 07:56:16.831535
BLUSPRING,Unknown,2026-02-19 07:56:16.831572
BMWVENTLTD,Unknown,2026-02-19 07:56:16.831610
BODALCHEM,Unknown,2026-02-19 07:56:16.831647
BOMDYEING,Unknown,2026-02-19 07:56:16.831684
BOROLTD,Unknown,2026-02-19 07:56:16.831721
BORORENEW,Unknown,2026-02-19 07:56:16.831760
BOROSCI,Unknown,2026-02-19 07:56:16.831798
BOSCH-HCIL,Unknown,2026-02-19 07:56:16.831835
BOSCHLTD,Unknown,2026-02-19 07:56:16.831873
BPCL,Unknown,2026-02-19 07:56:16.831911
BPL,Unknown,2026-02-19 07:56:16.831949
BRIGADE,Unknown,2026-02-19 07:56:16.831986
BRIGHOTEL,Unknown,2026-02-19 07:56:16.832023
BRITANNIA,Unknown,2026-02-19 07:56:16.832061
BRNL,Unknown,2026-02-19 07:56:16.832098
BROOKS,Unknown,2026-02-19 07:56:16.832135
BSE,Unknown,2026-02-19 07:56:16.832173
BSHSL,Unknown,2026-02-19 07:56:16.832229
BSL,Unknown,2026-02-19 07:56:16.832272
BSOFT,Unknown,2026-02-19 07:56:16.832309
BTML,Unknown,2026-02-19 07:56:16.832347
BUILDPRO,Unknown,2026-02-19 07:56:16.832384
BUTTERFLY,Unknown,2026-02-19 07:56:16.832428
BVCL,Cement,2026-02-19 07:56:16.832472
BYKE,Unknown,2026-02-19 07:56:16.832511
CALSOFT,IT,2026-02-19 07:56:16.832550
CAMLINFINE,Unknown,2026-02-19 07:56:16.832598
CAMPUS,Unknown,2026-02-19 07:56:16.832635
CAMS,Unknown,2026-02-19 07:56:16.832673
CANBK,Finance,2026-02-19 07:56:16.832710
CANFINHOME,Unknown,2026-02-19 07:56:16.832748
CANHLIFE,Finance,2026-02-19 07:56:16.832785
CANTABIL,Unknown,2026-02-19 07:56:16.832823
CAPACITE,Unknown,2026-02-19 07:56:16.832860
CAPILLARY,IT,2026-02-19 07:56:16.832898
CAPITALSFB,Finance,2026-02-19 07:56:16.832935
CAPLIPOINT,Unknown,2026-02-19 07:56:16.832973
CAPTRUST,Unknown,2026-02-19 07:56:16.833010
CARBORUNIV,Unknown,2026-02-19 07:56:16.833048
CARERATING,Unknown,2026-02-19 07:56:16.833084
CARRARO,Unknown,2026-02-19 07:56:16.833122
CARTRADE,IT,2026-02-19 07:56:16.833158
CARYSIL,Unknown,2026-02-19 07:56:16.833195
CASTROLIND,Unknown,2026-02-19 07:56:16.833255
CCAVENUE,Unknown,2026-02-19 07:56:16.833296
CCCL,Unknown,2026-02-19 07:56:16.833336
CCHHL,Unknown,2026-02-19 07:56:16.833374
CCL,Unknown,2026-02-19 07:56:16.833411
CDSL,Unknown,2026-02-19 07:56:16.833449
CEATLTD,Unknown,2026-02-19 07:56:16.833486
CEIGALL,Unknown,2026-02-19 07:56:16.833523
CEINSYS,IT,2026-02-19 07:56:16.833560
CELEBRITY,Unknown,2026-02-19 07:56:16.833597
CELLO,Unknown,2026-02-19 07:56:16.833634
CEMPRO,Unknown,2026-02-19 07:56:16.833672
CENTENKA,Unknown,2026-02-19 07:56:16.833714
CENTEXT,Unknown,2026-02-19 07:56:16.833753
CENTRALBK,Finance,2026-02-19 07:56:16.833790
CENTRUM,Unknown,2026-02-19 07:56:16.833827
CENTUM,Unknown,2026-02-19 07:56:16.833864
CENTURYPLY,Unknown,2026-02-19 07:56:16.833901
CERA,Unknown,2026-02-19 07:56:16.833938
CESC,Unknown,2026-02-19 07:56:16.833974
CEWATER,Unknown,2026-02-19 07:56:16.834012
CGCL,Unknown,2026-02-19 07:56:16.834049
CGPOWER,Energy,2026-02-19 07:56:16.834097
CHALET,Unknown,2026-02-19 07:56:16.834134
CHAMBLFERT,Unknown,2026-02-19 07:56:16.834171
CHEMBOND,IT,2026-02-19 07:56:16.834224
CHEMBONDCH,Unknown,2026-02-19 07:56:16.834268
CHEMCON,Unknown,2026-02-19 07:56:16.834306
CHEMFAB,Unknown,2026-02-19 07:56:16.834343
CHEMPLASTS,Unknown,2026-02-19 07:56:16.834380
CHENNPETRO,Unknown,2026-02-19 07:56:16.834422
CHEVIOT,Unknown,2026-02-19 07:56:16.834468
CHOICEIN,Unknown,2026-02-19 07:56:16.834508
CHOLAFIN,Finance,2026-02-19 07:56:16.834546
CHOLAHLDNG,Unknown,2026-02-19 07:56:16.834583
CIEINDIA,Automobile,2026-02-19 07:56:16.834621
CIFL,Finance,2026-02-19 07:56:16.834658
CIGNITITEC,IT,2026-02-19 07:56:16.834696
CINELINE,Unknown,2026-02-19 07:56:16.834734
CINEVISTA,Unknown,2026-02-19 07:56:16.834772
CIPLA,Unknown,2026-02-19 07:56:16.834810
CLEAN,IT,2026-02-19 07:56:16.834851
CLEDUCATE,Unknown,2026-02-19 07:56:16.834903
CLSEL,Unknown,2026-02-19 07:56:16.834942
CMSINFO,Unknown,2026-02-19 07:56:16.834985
CNL,IT,2026-02-19 07:56:16.835023
COALINDIA,Unknown,2026-02-19 07:56:16.835061
COCHINSHIP,Unknown,2026-02-19 07:56:16.835099
COFFEEDAY,Unknown,2026-02-19 07:56:16.835148
COFORGE,Unknown,2026-02-19 07:56:16.835186
COHANCE,Unknown,2026-02-19 07:56:16.835244
COLPAL,Unknown,2026-02-19 07:56:16.835286
COMPUSOFT,IT,2026-02-19 07:56:16.835324
COMSYN,Unknown,2026-02-19 07:56:16.835361
CONCOR,Unknown,2026-02-19 07:56:16.835399
CONCORDBIO,IT,2026-02-19 07:56:16.835435
CONFIPET,Unknown,2026-02-19 07:56:16.835473
CONSOFINVT,Unknown,2026-02-19 07:56:16.835510
CONTROLPR,Unknown,2026-02-19 07:56:16.835547
CORALFINAC,Finance,2026-02-19 07:56:16.835584
CORDSCABLE,Unknown,2026-02-19 07:56:16.835621
COROMANDEL,Unknown,2026-02-19 07:56:16.835659
CORONA,Unknown,2026-02-19 07:56:16.835697
COSMOFIRST,Unknown,2026-02-19 07:56:16.835735
COUNCODOS,Unknown,2026-02-19 07:56:16.835772
CPCAP,Unknown,2026-02-19 07:56:16.835809
CPEDU,IT,2026-02-19 07:56:16.835846
CPPLUS,IT,2026-02-19 07:56:16.835883
CRAFTSMAN,Automobile,2026-02-19 07:56:16.835920
CRAMC,Unknown,2026-02-19 07:56:16.835957
CREATIVEYE,Unknown,2026-02-19 07:56:16.835995
CREDITACC,Unknown,2026-02-19 07:56:16.836033
CREST,Unknown,2026-02-19 07:56:16.836070
CRISIL,Unknown,2026-02-19 07:56:16.836108
CRIZAC,Unknown,2026-02-19 07:56:16.836145
CROMPTON,Unknown,2026-02-19 07:56:16.836189
CROWN,Unknown,2026-02-19 07:56:16.836249
CSBBANK,Finance,2026-02-19 07:56:16.836289
CSLFINANCE,Finance,2026-02-19 07:56:16.836328
CTE,IT,2026-02-19 07:56:16.836365
CUB,Finance,2026-02-19 07:56:16.836402
CUBEXTUB,Unknown,2026-02-19 07:56:16.836439
CUMMINSIND,Unknown,2026-02-19 07:56:16.836476
