symbol,company_name,series,date of listing,paid up value,market lot,isin number,face value,ingestion_time
ANANDRATHI,Anand Rathi Wealth Limited,EQ,14-DEC-2021,5,1,INE463V01026,5,2026-02-18 17:27:57.692675
ANANTRAJ,Anant Raj Limited,EQ,27-SEP-2006,2,1,INE242C01024,2,2026-02-18 17:27:57.692675
ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,13-MAY-2004,2,1,INE435A01051,2,2026-02-18 17:27:57.692675
ANDHRSUGAR,The Andhra Sugars Limited,EQ,01-NOV-1995,2,1,INE715B01021,2,2026-02-18 17:27:57.692675
ANGELONE,Angel One Limited,EQ,05-OCT-2020,10,1,INE732I01013,10,2026-02-18 17:27:57.692675
ANIKINDS,Anik Industries Limited,EQ,21-MAY-2008,10,1,INE087B01017,10,2026-02-18 17:27:57.692675
ANMOL,Anmol India Limited,EQ,04-JUN-2021,10,1,INE02AR01019,10,2026-02-18 17:27:57.692675
ANTELOPUS,Antelopus Selan Energy Limited,EQ,26-SEP-2006,10,1,INE818A01017,10,2026-02-18 17:27:57.692675
ANTGRAPHIC,Antarctica Limited,EQ,31-DEC-1997,1,1,INE414B01021,1,2026-02-18 17:27:57.692675
ANTHEM,Anthem Biosciences Limited,EQ,21-JUL-2025,2,1,INE0CZ201020,2,2026-02-18 17:27:57.692675
ANUHPHR,Anuh Pharma Limited,EQ,20-DEC-2024,5,1,INE489G01022,5,2026-02-18 17:27:57.692675
ANUP,The Anup Engineering Limited,EQ,01-MAR-2019,10,1,INE294Z01018,10,2026-02-18 17:27:57.692675
ANURAS,Anupam Rasayan India Limited,EQ,24-MAR-2021,10,1,INE930P01018,10,2026-02-18 17:27:57.692675
APARINDS,Apar Industries Limited,EQ,12-JUL-2004,10,1,INE372A01015,10,2026-02-18 17:27:57.692675
APCL,Anjani Portland Cement Limited,EQ,10-APR-2017,10,1,INE071F01012,10,2026-02-18 17:27:57.692675
APCOTEXIND,Apcotex Industries Limited,EQ,06-SEP-1995,2,1,INE116A01032,2,2026-02-18 17:27:57.692675
